Rank,Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC,ModelType
44,XGBoost,S4_PreviousOnly,Yes,0.862656198164326,0.3841309823677581,0.2882797731568998,0.3293736501079913,0.6235968196512128,Advanced
45,Ridge (L2),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.2917888563049853,0.6223318059736297,Baseline
46,Logistic Regression,S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.2917888563049853,0.6223318059736297,Baseline
47,Lasso (L1),S4_PreviousOnly,No,0.893177043016698,0.6503267973856209,0.1880907372400756,0.2917888563049853,0.6223172465385831,Baseline
48,Logistic Regression,S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.3412098298676748,0.2984704423315419,0.62201623317823,Baseline
49,Ridge (L2),S4_PreviousOnly,Yes,0.812341037266394,0.2652461425422483,0.3412098298676748,0.2984704423315419,0.62201623317823,Baseline
50,Lasso (L1),S4_PreviousOnly,Yes,0.8124516200375982,0.2654411764705882,0.3412098298676748,0.2985938792390405,0.6220116167719956,Baseline
51,Random Forest,S4_PreviousOnly,No,0.893177043016698,0.6678832116788321,0.1729678638941398,0.2747747747747748,0.6206886612777028,Advanced
52,XGBoost,S4_PreviousOnly,No,0.8930664602454937,0.6743295019157088,0.166351606805293,0.266868840030326,0.6198826249122587,Advanced
53,Random Forest,S4_PreviousOnly,Yes,0.8677430056397213,0.4065040650406504,0.2835538752362949,0.3340757238307349,0.618622819487863,Advanced
54,Decision Tree,S4_PreviousOnly,No,0.8920712153046555,0.664,0.1568998109640831,0.2538226299694189,0.6063021047261345,Baseline
55,KNN,S4_PreviousOnly,Yes,0.8663054296140661,0.3864661654135338,0.2429111531190926,0.2983168891468369,0.6053314165383346,Advanced
56,Decision Tree,S4_PreviousOnly,Yes,0.8601127944266284,0.3647058823529411,0.2637051039697543,0.306088864509051,0.604498096028352,Baseline
57,KNN,S4_PreviousOnly,No,0.8890854804821409,0.5938566552901023,0.164461247637051,0.2575869726128793,0.5895313519086472,Advanced
58,SVM (RBF),S1_All_WithDuration,Yes,0.2240406944598031,0.1140044047156367,0.831758034026465,0.2005240970718924,0.5880696674885448,Advanced
59,SVM (RBF),S2_Realistic_NoDuration,No,0.6194846842861882,0.1280049953168904,0.387523629489603,0.1924430884768833,0.5329736284834632,Advanced
60,SVM (RBF),S4_PreviousOnly,No,0.2234877806037819,0.1098901098901098,0.7939508506616257,0.1930590668811767,0.5270956412839292,Advanced
61,SVM (RBF),S3_DemographicsOnly,Yes,0.2512440561760478,0.1122573639201846,0.781663516068053,0.196320474777448,0.519045871689948,Advanced
62,SVM (RBF),S4_PreviousOnly,Yes,0.8438571270596041,0.3193877551020408,0.2958412098298676,0.3071638861629048,0.499962358533782,Advanced
63,SVM (RBF),S2_Realistic_NoDuration,Yes,0.2241512772310074,0.1071993670886076,0.7684310018903592,0.1881508909974543,0.4387090989366878,Advanced
64,SVM (RBF),S3_DemographicsOnly,No,0.4235320137122636,0.091284674404879,0.4385633270321361,0.1511154535092004,0.4043160439055744,Advanced
