Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S2_Realistic_NoDuration,No,0.8865420767444432,0.5384615384615384,0.21172022684310018,0.3039348710990502,0.7000381741284756
Random Forest,S2_Realistic_NoDuration,No,0.8942828707287405,0.7090163934426229,0.16351606805293006,0.26574500768049153,0.7912217851761277
SVM (RBF),S2_Realistic_NoDuration,No,0.6194846842861882,0.1280049953168904,0.387523629489603,0.19244308847688335,0.5329736284834632
XGBoost,S2_Realistic_NoDuration,No,0.8964945261528254,0.6694444444444444,0.2277882797731569,0.33991537376586745,0.7939795552388517
