Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S1_All_WithDuration,No,0.8947252018135574,0.5825545171339563,0.3534971644612476,0.44,0.8257061621921065
Random Forest,S1_All_WithDuration,No,0.8970474400088466,0.7490196078431373,0.18052930056710775,0.2909367859862909,0.919579007425312
SVM (RBF),S1_All_WithDuration,No,0.8017250912307863,0.27848101265822783,0.43667296786389415,0.340080971659919,0.7244003110747586
XGBoost,S1_All_WithDuration,No,0.9096538759261307,0.6643929058663028,0.4603024574669187,0.5438302624232273,0.927864568845413
