Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S4_PreviousOnly,No,0.8890854804821409,0.5938566552901023,0.16446124763705103,0.25758697261287933,0.5895313519086472
Random Forest,S4_PreviousOnly,No,0.893177043016698,0.6678832116788321,0.17296786389413987,0.2747747747747748,0.6206886612777028
SVM (RBF),S4_PreviousOnly,No,0.22348778060378194,0.10989010989010989,0.7939508506616257,0.19305906688117674,0.5270956412839292
XGBoost,S4_PreviousOnly,No,0.8930664602454937,0.6743295019157088,0.166351606805293,0.266868840030326,0.6198826249122587
