Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S4_PreviousOnly,Yes,0.8663054296140661,0.38646616541353385,0.24291115311909262,0.2983168891468369,0.6053314165383346
Random Forest,S4_PreviousOnly,Yes,0.8677430056397213,0.4065040650406504,0.2835538752362949,0.33407572383073497,0.618622819487863
SVM (RBF),S4_PreviousOnly,Yes,0.8438571270596041,0.3193877551020408,0.29584120982986767,0.3071638861629048,0.499962358533782
XGBoost,S4_PreviousOnly,Yes,0.862656198164326,0.38413098236775817,0.2882797731568998,0.32937365010799136,0.6235968196512128
