Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S2_Realistic_NoDuration,Yes,0.7367024217626894,0.2388472167390446,0.5718336483931947,0.33695349484823167,0.7035213118169346
Random Forest,S2_Realistic_NoDuration,Yes,0.840207895609864,0.37294812869336835,0.5368620037807184,0.44013948082138704,0.7794436757010131
SVM (RBF),S2_Realistic_NoDuration,Yes,0.22415127723100742,0.1071993670886076,0.7684310018903592,0.1881508909974543,0.4387090989366878
XGBoost,S2_Realistic_NoDuration,Yes,0.8875373216852814,0.5276653171390013,0.3695652173913043,0.43468593663146193,0.7711572265104821
