Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S3_DemographicsOnly,No,0.8717239854030742,0.36578947368421055,0.13137996219281664,0.1933240611961057,0.6461283739715179
Random Forest,S3_DemographicsOnly,No,0.8823399314386818,0.3333333333333333,0.005671077504725898,0.011152416356877323,0.7049923474188963
SVM (RBF),S3_DemographicsOnly,No,0.4235320137122636,0.091284674404879,0.43856332703213613,0.15111545350920044,0.4043160439055744
XGBoost,S3_DemographicsOnly,No,0.8822293486674776,0.44776119402985076,0.02835538752362949,0.05333333333333334,0.7030462954523664
