Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S3_DemographicsOnly,Yes,0.7086143978768108,0.19847036328871892,0.4905482041587902,0.2826027770215083,0.6470178015726558
Random Forest,S3_DemographicsOnly,Yes,0.7197832577684397,0.22462686567164178,0.5689981096408318,0.32209737827715357,0.6912651083730955
SVM (RBF),S3_DemographicsOnly,Yes,0.2512440561760478,0.11225736392018461,0.781663516068053,0.19632047477744807,0.519045871689948
XGBoost,S3_DemographicsOnly,Yes,0.7759593055401969,0.2523029682702149,0.4659735349716446,0.32735723771580344,0.6845905543593671
