Model,Scenario,SMOTE,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,S1_All_WithDuration,Yes,0.833020015481588,0.3875621890547264,0.7362948960302458,0.5078226857887875,0.8436933972370217
Random Forest,S1_All_WithDuration,Yes,0.8573482251465222,0.4393305439330544,0.7939508506616257,0.5656565656565656,0.9124915809770919
SVM (RBF),S1_All_WithDuration,Yes,0.22404069445980315,0.11400440471563673,0.831758034026465,0.20052409707189245,0.5880696674885448
XGBoost,S1_All_WithDuration,Yes,0.8924029636182683,0.5314116777531411,0.6795841209829868,0.5964330153463293,0.9197478613610348
